"thumbnail_s3_url","desc_style"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+1","[""#fallfashion""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+2","[""#데일리가방""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+3","[""#daily"", ""#룩스타그램"", ""#데일리"", ""#ootd""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+4","[""#daily"", ""#dailymemes""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+5","[""#반팔티코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+6","[""#패딩코디""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+7","[""#백팩코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+8","[""#패딩코디"", ""#겨울코디""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+9","[""#여자코디추천"", ""#여자가을룩"", ""#여자가을코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+10","[""#마니토바묵룩"", ""#겨울코디""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+11","[""#패딩룩"", ""#패딩코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+12","[""#오늘의코디"", ""#선글라스코디""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+13","[""#패션"", ""#일상룩"", ""#ootd""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+14","[""#간절기룩"", ""#fashion"", ""#오오티디"", ""#가을룩""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+15","[""#겨울코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+16","[""#패션""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+17","[""#가디건코디"", ""#니트코디""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+18","[""#데일리가방""]"
"https://via.placeholder.com/300x300/667eea/ffffff?text=Image+19","[""#가을코디"", ""#데일리룩""]"
"https://via.placeholder.com/300x300/764ba2/ffffff?text=Image+20","[""#가을코디""]"
